Genus,Species,Genus_Species
Agardheilla,subulata,Agardheilla subulata
Agardhiella,subulata,Agardhiella subulata
Agarophyton,vermiculophyllum,Agarophyton vermiculophyllum
Agarophyton,vermiculophylum,Agarophyton vermiculophylum
Agarum,clathratum,Agarum clathratum
Antithamnionella,floccosa,Antithamnionella floccosa
Ascophyllum,nodosum,Ascophyllum nodosum
Bonnemaisonia,hamifera,Bonnemaisonia hamifera
Bryopsis,plumosa,Bryopsis plumosa
Callithamnion,corymbosum,Callithamnion corymbosum
Ceramium,deslongchampsii,Ceramium deslongchampsii
Ceramium,virgatum,Ceramium virgatum
Chaetomorpha,aerea,Chaetomorpha aerea
Chaetomorpha,brachygona,Chaetomorpha brachygona
Chaetomorpha,ligustica,Chaetomorpha ligustica
Chaetomorpha,linum,Chaetomorpha linum
Chalinum,,
Chondrus,crispus,Chondrus crispus
Cladophora,sericea,Cladophora sericea
Corallina,officinalis,Corallina officinalis
Cystoclonium,purpureum,Cystoclonium purpureum
Dasya,baillouviana,Dasya baillouviana
Dasysiphonia,japonica,Dasysiphonia japonica
Ectocarpus,siliculosus,Ectocarpus siliculosus
Enteromorpha,linza,Enteromorpha linza
Euthora,cristata,Euthora cristata
Fucus,,
Gracilaria,tikvahiae,Gracilaria tikvahiae
Grateloupia,turuturu,Grateloupia turuturu
Laminaria,saccharina,Laminaria saccharina
Lomentaria,clavellosa,Lomentaria clavellosa
Lomentaria,orcadensis,Lomentaria orcadensis
Melanothamnus,harveyi,Melanothamnus harveyi
Neosiphonia,harveyi,Neosiphonia harveyi
Phycodrys,rubens,Phycodrys rubens
Polyides,rotunda,Polyides rotunda
Polysiphonia,elongata,Polysiphonia elongata
Polysiphonia,fucoides,Polysiphonia fucoides
Polysiphonia,nigra,Polysiphonia nigra
Polysiphonia,sticta,Polysiphonia sticta
Polysiphonia,stricta,Polysiphonia stricta
Polysiphonia,subtilissima,Polysiphonia subtilissima
Pylaiella,littoralis,Pylaiella littoralis
Spermothamnion,repens,Spermothamnion repens
Ulva,compressa,Ulva compressa
Ulva,intestinalis,Ulva intestinalis
Ulva,lactuca,Ulva lactuca
Ulva,linza,Ulva linza
Ulvaria,obscura,Ulvaria obscura
Ulva,,
Vaucheria,,
