# Constructed from biom file,NERRs
#OTU ID,NERRs
GBGB022724tb,NERRs
GBGBw0227241,NERRs
GBGBw0227242,NERRs
GBGBw0227243,NERRs
GBGTMSFSSNTC032624,NERRs
GBGTMSFSSOst032624,NERRs
GBlb0227241,NERRs
GBlb0227242,NERRs
GBlb0227243,NERRs
GBLRw0227241,NERRs
GBLRw0227242,NERRs
GBLRw0227243,NERRs
GBSQ022724tb,NERRs
GBSQw0227241,NERRs
GBSQw0227242,NERRs
GBSQw0227243,NERRs
GTMFM020824tb,NERRs
GTMFMw0208241,NERRs
GTMFMw0208242,NERRs
GTMFMw0208243,NERRs
GTMlb0208241,NERRs
GTMlb0208242,NERRs
GTMlb0226243,NERRs
GTMPC022624tb,NERRs
GTMPCw0226241,NERRs
GTMPCw0226242,NERRs
GTMPCw0226243,NERRs
GTMPI020824tb,NERRs
GTMPIw0208241,NERRs
GTMPIw0208242,NERRs
GTMPIw0208243,NERRs
GTMsbFeb2024,NERRs
GTMSS020824tb,NERRs
GTMSSw0208241,NERRs
GTMSSw0208242,NERRs
GTMSSw0208243,NERRs
SFCC021424tb,NERRs
SFCCw0214241,NERRs
SFCCw0214242,NERRs
SFCCw0214243,NERRs
SFEP021424tb,NERRs
SFEPw0214241,NERRs
SFEPw0214242,NERRs
SFEPw0214243,NERRs
SFFMw0213241,NERRs
SFFMw0213242,NERRs
SFFMw0213243,NERRs
SFGC021424tb,NERRs
SFGCw0214241,NERRs
SFGCw0214242,NERRs
SFGCw0214243,NERRs
SFlb0213241,NERRs
SFlb0214242,NERRs
SFlb0214243,NERRs
SFsbFeb2024,NERRs
SFSM021324tb,NERRs
SFSMw0213241,NERRs
SFSMw0213242,NERRs
SFSMw0213243,NERRs
SSBH022224tb,NERRs
SSBHw0222241,NERRs
SSBHw0222242,NERRs
SSBHw0222243,NERRs
SSCB022224tb,NERRs
SSCBw0222241,NERRs
SSCBw0222242,NERRs
SSCBw0222243,NERRs
SSlbw0223241,NERRs
SSlbw0223242,NERRs
SSSA022224tb,NERRs
SSSAw0222241,NERRs
SSSAw0222242,NERRs
SSSAw0222243,NERRs
SSsbFeb2024,NERRs
